Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
20240615151010,0,1000.42,34.15,55.88,4921.83,5.06
20240615152010,0,1000.41,33.94,56.27,4439.75,4.02
20240615153010,0,1000.37,33.73,56.34,4226.67,3.34
20240615154010,0,1000.42,33.67,55.87,3913.08,2.87
20240615155010,0,1000.5,33.42,56.47,3839.92,2.66
20240615160010,0,1000.65,33.24,56.13,3677.42,2.3
20240615161010,0,1000.7,33.11,56.64,3462.17,2.04
20240615162010,0,1000.73,32.99,57.44,3195,1.62
20240615163010,0,1000.75,32.87,56.62,2730.83,1.07
20240615164010,0,1000.81,32.65,57.1,2872.58,1.21
20240615165010,0,1000.84,32.6,58.92,2650.5,0.98
20240616070010,0,1004.68,30.11,73.4,9356,26.79
20240616071010,0,1004.79,30.98,71.13,10720.42,34.94
20240616072010,0,1004.95,31.69,66.72,11025.17,38.58
20240616073010,0,1005.05,32,63.74,10683.25,36.21
20240616074010,0,1005.06,32.09,62.84,9680.75,26.7
20240616075010,0,1005.15,31.85,64.14,8388.92,18.8
20240616080010,0,1005.27,31.33,66.33,8194.5,15.57
20240616081010,0,1005.32,31.1,68.03,8357.08,17.21
20240616082010,0,1005.38,31.12,68.26,11233.92,26.4
20240616083010,0,1005.46,31.49,66.16,12190.83,35.38
20240616084010,0,1005.49,32.59,62.79,14074.33,68.37
20240616085010,0,1005.42,35.77,52.03,20407.08,242.51
20240616090010,0,1005.4,37.02,48.56,18013.67,142.28
20240616091010,0,1005.43,37.24,48.32,17575.17,133.54
20240616092010,0,1005.37,38.84,44.53,17843.92,260.84
20240616093010,0,1005.3,42.66,36.14,23468.83,688.76
20240616094010,0,1005.32,44.52,31.09,26110.42,832.51
20240616095010,0,1005.38,41.56,36.21,16376.84,172.87
20240616100010,0,1005.35,39.52,40.66,16215.17,198.38
20240616101010,0,1005.28,40.9,38.19,23193.08,601.56
20240616102010,0,1005.28,44.62,31.5,31523.92,1040.58
20240616103010,0,1005.3,43.84,31.44,36935.3,1299.64
20240616104010,0,1005.29,47.06,26.93,47556.28,1352.77
20240616105010,0,1005.23,47.17,26.82,69596.38,1543.7
20240616110010,0,1005.03,45.08,29.81,68994.39,1014.92
20240616111010,0,1004.91,41.74,35.8,41898.81,331.88
20240616112010,0,1004.82,38.64,42.98,25893.33,125.19
20240616113010,0,1004.71,37.48,46.18,22508.67,100.87
20240616114010,0,1004.6,36.37,48.8,21525.25,95.29
20240616115010,0,1004.44,36.22,50.59,22203.92,101.5
20240616120010,0,1004.27,36.22,50.27,30073.66,159.58
20240616121010,0,1004.11,36.05,50.26,26770.83,138.11
20240616122010,0,1003.95,36.08,50.25,22933.75,110.45
20240616123010,0,1003.8,35.49,51.77,19063.75,79.45
20240616124010,0,1003.62,35.9,51.36,24530.58,130.71
20240616125010,0,1003.46,36.55,49.61,20033.75,102.43
20240616130010,0,1003.39,36.33,49.83,17609.25,72.76
20240616131010,0,1003.18,36.29,49.67,18740.75,81.93
20240616132010,0,1003.02,36.28,49.58,19947.67,90.48
20240616133010,0,1003.02,36.34,49.27,22413.75,114.66
20240616134010,0,1002.97,35.71,50.48,17973.58,64.74
20240616135010,0,1002.96,35.13,51.46,18384.33,68.44
20240616140010,0,1002.91,35.46,51.65,19063.92,73.62
20240616141010,0,1002.88,35.2,51.6,19605.25,75.68
20240616142010,0,1002.94,35.28,51.58,17600,62.57
20240616143010,0,1002.92,35.45,50.59,15993.08,47.25
20240616144010,0,1002.86,35.97,51.28,13748,36.24
20240616145010,0,1002.69,36.38,50.4,17577.08,60.79
20240616150010,0,1002.57,37.07,49.48,18409.5,65.69
20240616151010,0,1002.39,37.32,47.87,18433.83,69.04
20240616152010,0,1002.34,37.12,48.25,13304.33,36.4
20240616153010,0,1002.38,36.49,50.61,9390.5,18.92
20240616154010,0,1002.45,35.58,54.17,8037.67,13.38
20240616155010,0,1002.47,34.42,59.4,7427.67,12.64
20240616160010,0,1002.47,34.02,61.07,5777.67,7.43
20240616161010,0,1002.7,33.72,62.13,4355.75,4.06
20240616162010,0,1002.79,33.51,63.34,4345.92,4
20240616163010,0,1002.74,33.45,61.81,4969.75,5.14
20240616164010,0,1002.81,33.28,63.66,4422.42,4.17
20240616165010,0,1002.85,33.15,64.44,4482.17,4.47
20240617070010,0,1004.25,29.79,82.87,5820.58,8.4
20240617071010,0,1004.3,30.45,79.93,7361.83,14.63
20240617072010,0,1004.43,31,76.23,7752.92,16.1
20240617073010,0,1004.57,31.08,74.76,8347.92,18.23
20240617074010,0.28,1004.57,31.18,72.56,9336.92,21.27
20240617075010,0,1004.65,31.4,71.05,9883.75,22.57
20240617080010,0,1004.72,31.61,71.17,9285.67,19.63
20240617081010,0,1004.8,31.4,72.66,7991,13.65
20240617082010,0,1004.79,31.08,73.27,7833.5,12.92
20240617083010,0,1004.81,31.17,73.86,7722.17,13.03
20240617084010,0,1004.86,31.32,72.85,8724.25,16.54
20240617085010,0,1004.95,31.69,71.83,10847.58,24.76
